Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2024-09-24,524.08,547.04,521.08,536.86,280977,411.63,464.34,21.86,486.48,491.58,547.04,546.04,0,,
2024-09-25,535.96,552.38,521.68,525.08,157537,412.87,473.01,22.49,481.35,493.69,552.38,547.04,0,,
2024-09-26,529.17,529.17,515.09,518.44,94918,414.08,476.25,21.89,478.55,495.67,552.38,552.38,0,,
2024-09-27,522.78,522.78,511.1,514.2,58958,415.24,492.19,21.16,481.61,497.52,552.38,552.38,0,,
2024-09-30,513.0,517.89,499.22,507.11,97262,416.32,492.19,20.98,477.16,498.85,552.38,552.38,0,,
2024-10-01,505.11,519.74,505.11,516.89,48362,417.42,492.19,20.53,483.77,500.46,552.38,552.38,0,,
2024-10-03,505.71,516.49,499.12,501.17,69547,418.45,495.53,20.33,474.88,501.25,552.38,552.38,0,,
2024-10-04,499.87,510.85,481.25,492.48,106528,419.41,481.25,21.0,464.07,501.87,552.38,552.38,0,,
2024-10-07,489.04,496.08,464.18,480.65,231333,420.23,464.18,21.77,450.23,502.19,552.38,552.38,0,,
2024-10-08,480.65,500.67,480.65,495.28,68332,421.13,464.18,21.65,459.75,502.72,552.38,552.38,0,,
2024-10-09,495.28,506.06,489.19,492.28,43643,422.02,464.18,21.31,458.04,502.57,552.38,552.38,0,,
2024-10-10,495.83,506.61,493.68,499.22,57401,423.02,464.18,20.81,462.85,503.0,552.38,552.38,0,,
2024-10-11,502.22,531.91,498.92,522.23,183391,424.22,464.18,21.68,477.11,504.28,552.38,552.38,0,,
2024-10-14,517.14,521.28,504.16,512.7,47690,425.34,464.18,21.42,471.14,505.14,552.38,552.38,0,,
2024-10-15,523.08,526.92,506.26,519.29,131604,426.46,464.18,21.37,475.42,507.01,552.38,552.38,0,,
2024-10-16,519.29,531.81,513.75,522.38,68255,427.64,464.18,21.13,477.57,508.63,552.38,552.38,0,,
2024-10-17,516.19,523.68,509.3,511.95,29362,428.78,464.18,20.65,471.17,509.97,552.38,552.38,0,,
2024-10-18,518.09,522.48,501.32,515.79,42847,429.88,464.18,20.69,473.62,511.27,552.38,552.38,0,,
2024-10-21,520.09,523.08,498.92,500.92,67523,430.89,464.18,20.93,463.86,511.05,552.38,552.38,0,,
2024-10-22,504.66,504.66,470.17,473.72,120441,431.77,464.18,21.9,445.67,509.47,552.38,552.38,0,,
2024-10-23,476.61,488.24,470.42,482.75,83135,432.76,464.18,21.61,451.69,508.99,552.38,552.38,0,,
2024-10-24,475.46,494.13,475.46,486.99,29967,433.72,464.18,21.4,454.57,508.71,531.91,552.38,0,,
2024-10-25,492.13,499.12,464.18,471.57,80929,434.56,464.18,22.37,443.98,507.57,531.91,531.91,0,,
2024-10-28,479.36,484.15,471.67,480.55,41651,435.36,464.18,21.67,450.24,506.92,531.91,531.91,0,,
2024-10-29,481.15,509.1,479.71,491.09,174892,436.21,464.18,22.22,456.67,505.96,531.91,531.91,0,,
2024-10-30,504.11,507.11,475.16,477.46,152516,436.97,464.18,22.91,447.41,504.33,531.91,531.91,0,,
2024-10-31,483.75,485.35,462.89,471.97,93186,437.7,462.89,22.88,443.46,502.57,531.91,531.91,0,,
2024-11-01,473.97,491.93,473.12,478.36,30886,438.43,462.89,22.67,447.72,501.45,531.91,531.91,0,,
2024-11-04,480.16,483.15,467.68,471.77,80604,439.1,462.89,22.16,443.82,499.83,531.91,531.91,0,,
2024-11-05,472.17,507.11,471.17,502.67,141288,439.96,462.89,23.14,463.09,499.13,531.91,531.91,0,,
2024-11-06,502.67,552.93,499.12,546.09,681659,441.06,462.89,25.33,489.64,499.44,552.93,531.91,1,546.09,489.64
2024-11-07,549.03,567.0,534.06,539.5,552594,442.05,462.89,25.88,485.02,499.92,567.0,552.93,0,,
2024-11-08,539.3,563.76,532.76,541.8,249810,443.11,462.89,26.24,486.26,500.69,567.0,567.0,0,,
2024-11-11,541.1,562.91,524.38,530.67,331564,444.09,462.89,27.12,478.5,501.24,567.0,567.0,0,,
2024-11-12,530.07,560.96,525.63,535.51,352123,445.02,462.89,27.71,481.23,502.19,567.0,567.0,0,,
